Page ID,Page name,Disclaimer,Amount spent (MYR)
104398771409285,Perikatan Nasional,Perikatan-Nasional,30823
350525301281,Ismail Sabri Yaakob,Ismail Sabri Yaakob,22823
318368621577316,Fadhli Shaari,Fadhli Shaari,19662
221159141657466,Newswav,Newswav - Malaysia Latest News,9266
163611310997367,Kubang Kerian Sejahtera,Kubang Kerian Sejahtera,7887
106507455187996,Mohamad Kamal Mohamed,Mohamad Kamal Mohamed,7180
479387615411779,Pemuda PAS Malaysia,Dewan Pemuda PAS Malaysia - DPPM,4865
446352142470360,Ustaz Marzuk Shaary,Ahmad Marzuk Bin Shaary,4493
260612367434680,Lidah Hitam,Mohd Rais Bin Omar,4419
220590201291065,Parti Islam Se-Malaysia (PAS) Pusat,Parti Islam Se-Malaysia (PAS),4395
112089495031484,Mejar Jeneral Datuk Khlir Mohd Nor,Zamzam Zainuddin,4177
100611362742567,MEDIA POINT,MEDIA POINT,4125
111966760286677,Nurul Amal Mohd Fauzi,Nurul Amal Mohd Fauzi,4033
146911248727335,Abdul Hadi Awang,Abdul Hadi Awang,3846
134350940016055,Ustaz Dr Nik Zawawi Bin Salleh,Ustaz Dr Nik Zawawi Bin Salleh,3614
102347691691485,Malaysian Viral Page,Malaysian Viral Page,3502
2009793029271034,Syahir Sulaiman,Syahir Sulaiman,3306
197799207237326,Pakatan Harapan,Harapan,3251
150274412333441,Ana Tahu,Ana Tahu,2716
165445646863414,My Networks,These ads ran without a disclaimer,2554
271122743033133,Mumtaz Md Nawi Official,Mumtaz Md Nawi Official,2400
110103494236868,BN COMMS,BN Comms,2395
1629302040667117,Koleksi Viral,Koleksi Viral,2266
554422814647249,Husam Musa,Harapan,2188
112183975526837,Muhyiddin Yassin,Mohd Ikhmal Abu Bakar,1977
471405192994807,Dr Hafidzah Mustakim,Dr Hafidzah Mustakim,1934
333762569997423,Dato' Sri Tuan Ibrahim bin Tuan Man,Dato' Sri Tuan Ibrahim bin Tuan Man,1811
195105060510135,Kementerian Dalam Negeri (KDN),Aiman Hakim Bin Mohd Yusof,1783
1466006540330480,Shahril Hamdan,Shahril Hamdan,1673
87363369882,Sinar Harian,Sinar Harian,1594
131870563493026,OHBULAN!,OHBULAN!,1478
214066990599,Berita Harian Online,Berita Harian Online,1335
104583751158392,Pustaka Permata Ummah,Pustaka Permata Ummah,1321
881712758830165,BERJASA Malaysia,BERJASA Malaysia,1313
471405192994807,Dr Hafidzah Mustakim,AMANAH,1306
1011160672261971,Parti Amanah Negara,AMANAH,1273
1831844263787221,Ustaz Zukirnain Abdul Kadir P034 Setiu,Mohd Faris Ameir Bin Ibrahim,1191
347433769191949,Nasrul Ali Hasan Abdul Latif,Nasrul Ali Hasan Abdul Latif,1187
101948845952442,Amyleakainsedap,Evan Mcclarance Gundi Anak Kelvin Renggan,1080
208547779739124,Dr Shah -P023 Rantau Panjang,AMANAH,1054
225685927482720,Pemuda PAS Selangor,DEWAN PEMUDA PAS NEGERI SELANGOR,977
211591442051,Harian Metro,Rev Media Group,971
479387615411779,Pemuda PAS Malaysia,Dewan Pemuda PAS Malaysia,962
200627917067197,Nengok TV,Melaka Plus,952
110562555184651,Dr Wan Ahmad Kamil,Wan Ahmad Kamil Bin Wan Abdullah,950
511188415592658,Dr. Fathul Bari,Dr. Fathul Bari,817
106566658931457,Marzuani Ardila,Wan Mohd Zairul Nizam Bin Mohd Zaib,804
