Page ID,Page name,Disclaimer,Amount spent (MYR)
221159141657466,Newswav,Newswav - Malaysia Latest News,45533
330451017046844,Amirudin Shari,Amirudin Shari,43826
350525301281,Ismail Sabri Yaakob,Ismail Sabri Yaakob,42395
161765427218260,Coffeeticks,Ng Weng Thiam,29175
1955662711111123,Apa Kata Orang,Apa Kata Orang,26085
145165568851292,Rafizi Ramli,Ayuh Malaysia,25937
102662592664570,KJ John P105 Petaling Jaya,K.J John A/L John Kuruvilla,20266
102366124467442,KitaReporters.com,Ng Weng Thiam,13754
1653824431566261,BNforMalaysia.com,These ads ran without a disclaimer,9695
260612367434680,Lidah Hitam,Mohd Rais Bin Omar,8080
100262998566710,Perikatan Nasional Gombak,Perikatan Nasional Gombak,7593
214066990599,Berita Harian Online,Berita Harian Online,7433
479387615411779,Pemuda PAS Malaysia,Dewan Pemuda PAS Malaysia - DPPM,6790
197799207237326,Pakatan Harapan,Harapan,6103
38348181435,Khalid Samad,AMANAH,5698
459834304085543,Lembah Jaya Sejahtera,Lembah Jaya Sejahtera,5197
109281180558241,刘薏雯,刘薏雯,4929
102488519333212,Ivone Low Yi Wen,Ivone Low Yi Wen,4633
217391881631388,SAYS,SAYS,4591
110103494236868,BN COMMS,BN Comms,4426
507702059311235,Ustazah Nuridah Mohd Salleh,Ustazah Nuridah Mohd Salleh,4294
112183975526837,Muhyiddin Yassin,Mohd Ikhmal Abu Bakar,4177
138361272876308,马华公会,马华公会,4134
102347691691485,Malaysian Viral Page,Malaysian Viral Page,4103
103370205276465,Lee Kah Hing,Lee Kah Hing,3938
1560866277543941,Dr Radzi Jidin,Era Baharu Putrajaya,3753
104398771409285,Perikatan Nasional,Perikatan-Nasional,3484
525165360893616,Perikatan Nasional Titiwangsa,Perikatan Nasional Titiwangsa,3333
237678573165,Farique Zubir,Farique Zubir,3258
1629302040667117,Koleksi Viral,Koleksi Viral,3100
1011160672261971,Parti Amanah Negara,AMANAH,2964
31373189944,Malaysiakini BM,FG Media Sdn Bhd,2938
87363369882,Sinar Harian,Sinar Harian,2917
131870563493026,OHBULAN!,OHBULAN!,2788
150274412333441,Ana Tahu,Ana Tahu,2707
