Page ID,Page name,Disclaimer,Amount spent (MYR)
104398771409285,Perikatan Nasional,Perikatan-Nasional,28044
350525301281,Ismail Sabri Yaakob,Ismail Sabri Yaakob,25756
450309788374603,Aminuddin Yahaya,Aminuddin Yahaya,24728
237380633036751,火箭报,DAP Malaysia,21755
1955662711111123,Apa Kata Orang,Apa Kata Orang,21263
87433504191,Democratic Action Party,Democratic Action Party,19814
145165568851292,Rafizi Ramli,Ayuh Malaysia,18644
1744716682510052,Ustaz Aire Roslan - UAR,Muhammad Zahir Bin Mat Yunos,16834
221159141657466,Newswav,Newswav - Malaysia Latest News,12626
101068662491361,Ayub Ashri,Ayub Ashri,10480
623786861080075,Mohd Sharkar Shamsudin,Muhamad Khalid Bin Tan,7387
116724990063808,Chan Chun Kuang 陈俊广 - CK,Chan Chun Kuang,6599
100887355844244,Zulfadli Zakariah,Zulfadli Zakariah,6050
220590201291065,Parti Islam Se-Malaysia (PAS) Pusat,Parti Islam Se-Malaysia (PAS),6011
103122425063527,Mohd Tarmizi Yahaya,Nazim Bin Maarop,4963
479387615411779,Pemuda PAS Malaysia,Dewan Pemuda PAS Malaysia - DPPM,4676
101291341431976,Azril Sarit,Azril Rizal Yusof Bin Mohd Sarit,4064
1007786915989464,Andansura Rabu,PAS DUN Beserah,3979
260612367434680,Lidah Hitam,Mohd Rais Bin Omar,3904
108152154939874,Wan Razali Wan Nor,Wan Razali Wan Nor,3772
108712198614398,Hafizal Shah - Tok,Hafizal Shah - Tok,3468
565488766825046,Hasbie Muda,AMANAH,3210
102347691691485,Malaysian Viral Page,Malaysian Viral Page,3087
166412166242,Saifuddin Abdullah,Saifuddin Abdullah,3038
327277427664416,Nor Idayu Hashim,Nor Idayu Hashim,3007
146911248727335,Abdul Hadi Awang,Abdul Hadi Awang,2915
333762569997423,Dato' Sri Tuan Ibrahim bin Tuan Man,Dato' Sri Tuan Ibrahim bin Tuan Man,2588
111620640684771,Dato' Indera Hj Mustaffar Kamal b Ab Hamid,Dato' Indera Hj Mustaffar Kamal b Ab Hamid,2581
811566692326278,Ab Hamid,Aliff Bin Amiruddin,2298
173935606013378,PahangKu Media,Badrul Hisham,2292
110103494236868,BN COMMS,BN Comms,2289
149195003923132,Temerloh TV,Temerloh TV,2250
103164978195601,Fadzli Kamal,Fadzli Bin Mohamad Kamal,2234
112303223886349,Saiful Anuar Mokhtar,Saiful Anuar Mokhtar,2168
112183975526837,Muhyiddin Yassin,Mohd Ikhmal Abu Bakar,2114
106853461821165,Anuar Daud,Rafi'uddin Bin Kamaruddin,2006
1298058263542976,Setia Pak Mail,Setia Pak Mail,1927
108077980889088,Wong Tze Shiang,Wong Tze Shiang,1832
197799207237326,Pakatan Harapan,Harapan,1800
131870563493026,OHBULAN!,OHBULAN!,1681
105616389472188,I ♥ PAHANG,I ♥ PAHANG,1597
1629302040667117,Koleksi Viral,Koleksi Viral,1543
104583751158392,Pustaka Permata Ummah,Pustaka Permata Ummah,1473
881712758830165,BERJASA Malaysia,BERJASA Malaysia,1436
219745198133003,Ustaz Haji Shahril Azman Bin Abd Halim Al Hafiz,Rafi'uddin Bin Kamaruddin,1416
1466006540330480,Shahril Hamdan,Shahril Hamdan,1385
117084708490603,Ustaz Kamal Ashaari,Rafi'uddin Bin Kamaruddin,1352
138361272876308,马华公会,马华公会,1349
429100183890772,邹宇晖,DAP MALAYSIA,1337
