Page ID,Page name,Disclaimer,Amount spent (MYR)
143451526401157,Abdul Rahim Tahir For P.063 Tambun,Abdul Rahim Bin Tahir,58098
1955662711111123,Apa Kata Orang,Apa Kata Orang,35348
145165568851292,Rafizi Ramli,Ayuh Malaysia,35344
350525301281,Ismail Sabri Yaakob,Ismail Sabri Yaakob,29166
511562268982741,Dato' Syed Abu Hussin - Ahli Parlimen P059 Bukit Gantang,Dato' Syed Abu Hussin - Ahli Parlimen P059 Bukit Gantang,25281
176612389069865,Hafez Sabri,Hafez Sabri,25016
221159141657466,Newswav,Newswav - Malaysia Latest News,24853
237380633036751,火箭报,DAP Malaysia,18439
107701342146047,Yeop Zainol for Teluk Intan,Zainol Fadzi,11494
87433504191,Democratic Action Party,Democratic Action Party,9987
103650461352854,Persepsi Tambun,Ewan Shazwan,7320
242624549154600,Wong Kah Woh,DAP Taiping,6898
728606270519279,IPOH IPOH Ajerr,Abdul Rahim Bin Tahir,6521
101054022824710,Auzaie Fadzlan Shahidi,Parti Berjasa,6479
104688308002388,陈昭宋 Cally Ting,陈昭宋 Cally Ting,6454
260612367434680,Lidah Hitam,Mohd Rais Bin Omar,6261
428782500998481,Cally Ting Zhao Song,Cally Ting Zhao Song,6148
479387615411779,Pemuda PAS Malaysia,Dewan Pemuda PAS Malaysia - DPPM,4930
135729286825875,Hamzah Zainudin,Hamzah Zainudin Orang Kita,4889
1038582476241567,Ustaz Mohamad Fakhrudin Abdul Aziz,Ihwan Amir,4340
457734577630461,Ustaz Ismi,Ustaz Ismi,4233
110103494236868,BN COMMS,BN Comms,4231
197799207237326,Pakatan Harapan,Harapan,4137
102225645302483,Teman Asal Perak,Nurul Natasha Binti Badrul Hisham,4069
102347691691485,Malaysian Viral Page,Malaysian Viral Page,3874
508187419354203,Asmuni Awi,Amanah,3748
138361272876308,马华公会,马华公会,3746
102277369368571,Haji Noor Azman,Azahari Bin Azemi,3496
638401542848443,Shamsul Anuar Nasarah,Barisan Nasional,3490
16194831839,Anwar Ibrahim,Anwar Ibrahim,3422
112183975526837,Muhyiddin Yassin,Mohd Ikhmal Abu Bakar,3384
165772956766692,Idris Ahmad,Idris Ahmad,3293
150274412333441,Ana Tahu,Ana Tahu,2979
101387829455160,GO2V,GO2V,2976
102277369368571,Haji Noor Azman,Muhammad Zaid Bin Noor Azman,2641
104725831491509,Dato T. Murugiah,Murugiah A/l Thopasamy,2591
1481225741958270,YB Arafat - Pusat Khidmat Rakyat ADUN Hulu Kinta,Parti Keadilan Rakyat,2580
297830887404221,Manong Sejahtera,Manong Sejahtera,2492
1011160672261971,Parti Amanah Negara,AMANAH,2479
1629302040667117,Koleksi Viral,Koleksi Viral,2413
105000332312217,Mahader Ayob - Kodet,Mahader Ayob - Kodet,2297
104398771409285,Perikatan Nasional,Perikatan-Nasional,2149
100705352859866,Dato’ Norzaman,Ammar Hasyiemi Bin Ashaari,2056
130325170489809,Dr Mohd Hatta Ramli,AMANAH,2054
1466006540330480,Shahril Hamdan,Shahril Hamdan,2049
2212692808965426,蓝天 Lan Tian,蓝天 Lan Tian,2043
37447942417,Nurul Izzah Anwar,Parti Keadilan Rakyat,1992
276342006041537,Dr. Ahmad Termizi Ramli,AMANAH,1977
470493726765993,Ustaz Meor M. Azim,Ustaz Meor M. Azim,1947
146911248727335,Abdul Hadi Awang,Abdul Hadi Awang,1930
195525274565665,Chiong Yoke Kong 张玉刚,Chiong Yoke Kong 张玉刚,1890
87363369882,Sinar Harian,Sinar Harian,1844
131870563493026,OHBULAN!,OHBULAN!,1816
100953840043211,Mohamad Sabu,AMANAH,1785
881712758830165,BERJASA Malaysia,BERJASA Malaysia,1645
101028385846632,Ustaz Hakimi,Ustaz Hakimi,1587
511188415592658,Dr. Fathul Bari,Dr. Fathul Bari,1580
236971840195528,Us. Khalil Yahaya,Us. Khalil Yahaya,1578
288570577986480,Khairol Najib,Parti Amanah Negara,1475
214066990599,Berita Harian Online,Berita Harian Online,1460
104583751158392,Pustaka Permata Ummah,Pustaka Permata Ummah,1454
1620114878091093,Perak Insights,Perak Insights,1401
420621651310007,Dr Mujahid Yusof Rawa,AMANAH,1375
1130669147012110,Syed Saddiq Syed Abdul Rahman,Syed Saddiq Syed Abdul Rahman,1373
102659372556779,Neow Choo Seong 梁子祥,Neow Choo Seong 梁子祥,1370
101948845952442,Amyleakainsedap,Evan Mcclarance Gundi Anak Kelvin Renggan,1311
413417772151030,NH ONLINE,Nor Hamzie Bin Md Hambali,1306
197799207237326,Pakatan Harapan,AMANAH,1300
100262819409856,Hasnizan Harun,Hasnizan Harun,1292
101561479417084,BN COMMS Lenggong,BN COMMS Lenggong,1279
104770629104258,Parlimen Tambun P.063,Muhammad Lokman Hakim Bin Romille,1269
274030749389323,Pusat Khidmat ADUN Selama,Pusat Khidmat ADUN Selama,1267
324704624607189,Dr. Fakhruldin Mohd Hashim,Parti Amanah Negara,1189
103233771700797,Wong Chai Yi 黄彩仪,Parti Keadilan Rakyat Gopeng,1125
669791046367615,Malaysia Gazette,Malaysia Gazette,1099
787248787962089,Pemuda Bukit Gantang,Muhammad Hasrul Bin Abdul Razak,1066
200627917067197,Nengok TV,Melaka Plus,1039
225685927482720,Pemuda PAS Selangor,DEWAN PEMUDA PAS NEGERI SELANGOR,1039
940137126142647,Cikgu Maha,Cikgu Maha,1037
27588322041,BFM Radio - The Business Station,BFM Radio - The Business Station,1036
114477580328465,PERIKATAN NASIONAL BERSATU GERIK,My District 76 Sdn Bhd,1033
211591442051,Harian Metro,Rev Media Group,998
231300803661301,Tan Kar Hing,Parti Keadilan Rakyat Gopeng,990
688039571241120,PAS Parit Buntar,PAS Parit Buntar,974
140262356142658,Howard Lee 李存孝,Howard Lee 李存孝,962
70288410464,当今大马 (Malaysiakini Chinese Version),FG Media Sdn Bhd,954
112040937302708,Parti MUDA Malaysia,Mohamad Momen Bin Abdul Aziz,924
104770629104258,Parlimen Tambun P.063,Anna Ozaimudi,903
112712044978699,Dato Zainal Azman 4 N13 Kuala Sepetang,harapan kuala sepetang,896
446376772194584,宾果日报 Bingo Daily,Bingo Daily,882
103627275288286,Lumi News Malaysia,Lumi Global Sdn Bhd,860
377863958981851,Mahdzir Khalid,Mahdzir Khalid,853
11726505964,Astro AWANI,Astro AWANI,839
1854296828127798,Parti Amanah Negara Parit Buntar,Parti Amanah Negara,819
1841296972859987,Ir Dr Muhd Fadhil Nuruddin - Pusat Khidmat DUN Kamunting,Hamzah Bin Muhd Fadhil,805
103591018467323,Mazlan Abd Rahman,Mazlan Abd Rahman,798
187383355103708,Perikatan Nasional Bukit Chandan,Perikatan Nasional Bukit Chandan,779
1461030033961295,Persepsi Rakyat,Persepsi Rakyat,773
306919993218,Mohd Syahid,Wisdom Creative,749
102413265498539,Amran Ibrahim,Wan Harisun,749
104671365773597,Rosli Abd Rahman,Ahmad Kamarulnizam Bin Majid,747
100173982517485,MyUndi,MyUndi,746
114561353720759,Amir Sabri,Amir Sabri,742
100682875880155,Doctor's Voice,These ads ran without a disclaimer,731
479387615411779,Pemuda PAS Malaysia,Dewan Pemuda PAS Malaysia,729
517210464961612,刘华才博士,PGRM,714
176159849754763,MCA,MCA,679
113868551523303,Cikgu Man Noh N36 DUN Pengkalan Baharu,Azman Noh,674
103406462160763,Nat Market,VIDARA SDN BHD,652
578782995489049,Wong May Ing,DAP PERAK,648
1071860782942949,JohorPress,Sayefullah Bin Jasman,622
474963719253432,Yayasan Ikhlas,Yayasan Ikhlas,611
109246994982100,I Am DSSA,I Am DSSA,599
102662592664570,KJ John P105 Petaling Jaya,K.J John A/L John Kuruvilla,583
113169080150399,Pendapat Malaysia,These ads ran without a disclaimer,554
102136629894327,Greenpeace Malaysia,Greenpeace Malaysia Sdn Bhd,547
220590201291065,Parti Islam Se-Malaysia (PAS) Pusat,Parti Islam Se-Malaysia (PAS) Pusat,538
103438025879907,BN Comms Tambun,BN Comms,533
401788663279891,Yayasan Sofa Negeri Sembilan,Yayasan Sofa,516
1893380910908918,Kesavan Subramaniam,Parti Keadilan Rakyat,516
318368621577316,Fadhli Shaari,Fadhli Shaari,515
104254692334112,Farhan Gopeng,Mohamed Tasryif Bin Omar,498
109918387978015,沒有中間商賺差價,These ads ran without a disclaimer,486
195105060510135,Kementerian Dalam Negeri (KDN),Aiman Hakim Bin Mohd Yusof,480
135091239861609,Nur Jazlan Mohamed,Nur Jazlan Mohamed,478
269301935826,ROTIKAYA,ROTIKAYA,470
104770629104258,Parlimen Tambun P.063,Muhammad Isyraf Bin Mohd Nor,469
107753481723309,Ustaz Azizi,Ustaz Azizi,448
106577198621577,Iskandar Dzulkarnain,Fais Faudzi,437
1395571097151964,Rakyat Sarawak Kini,Rakyat Sarawak Kini,437
101779739413941,Hj. Shamsul Ma'arif Ismail,AMANAH,436
100208706254218,Aminuddin Hanafiah,BN Comms,432
130114577096206,刘镇东,DAP Malaysia,404
103091001499691,Ideal Estate 4 U,Chee Keong Sum,398
135856610910,Liew Chin Tong,DAP Malaysia,393
107047938456392,Jam2u.com,VIDARA SDN BHD,392
220590201291065,Parti Islam Se-Malaysia (PAS) Pusat,Parti Islam Se-Malaysia (PAS),390
110694081848478,Hj. Ahmad Luqman Ahmad Yahaya,Ahmad Luqman,375
106011334390392,陈家兴,Parti Keadilan Rakyat Gopeng,370
