Page ID,Page name,Disclaimer,Amount spent (MYR)
658336284498542,Dato' Mohd Rosli Ramli,Dato' Mohd Rosli Ramli,9959
1560866277543941,Dr Radzi Jidin,Era Baharu Putrajaya,6456
289963741156793,We Fully Support BN 我们全力支持国阵,We Fully Support BN 我们全力支持国阵,4721
145165568851292,Rafizi Ramli,Ayuh Malaysia,3618
1955662711111123,Apa Kata Orang,Apa Kata Orang,2829
881712758830165,BERJASA Malaysia,BERJASA Malaysia,2169
87433504191,Democratic Action Party,Democratic Action Party,1663
221159141657466,Newswav,Newswav - Malaysia Latest News,1024
107030705545964,Dr Noraishah Mydin,Mohamad Syafiq Anwar Bin Mohd Saidi,964
350525301281,Ismail Sabri Yaakob,Ismail Sabri Yaakob,930
479387615411779,Pemuda PAS Malaysia,Dewan Pemuda PAS Malaysia - DPPM,540
643562522335339,KyoChon Malaysia,These ads ran without a disclaimer,525
1461030033961295,Persepsi Rakyat,Persepsi Rakyat,433
31373189944,Malaysiakini BM,FG Media Sdn Bhd,378
1653824431566261,BNforMalaysia.com,These ads ran without a disclaimer,359
103731065885704,Samsudin Mohamad Fauzi,Cloud Pro International Sdn. Bhd.,325
102366124467442,KitaReporters.com,Ng Weng Thiam,272
214066990599,Berita Harian Online,Berita Harian Online,226
104583751158392,Pustaka Permata Ummah,Pustaka Permata Ummah,193
102347691691485,Malaysian Viral Page,Malaysian Viral Page,185
639585376056020,Aiman Athirah Sabu,AMANAH,169
112183975526837,Muhyiddin Yassin,Mohd Ikhmal Abu Bakar,168
102327579363068,Ustaz Annuar Salleh,Berjasa Malaysia,156
104398771409285,Perikatan Nasional,Perikatan-Nasional,154
101948845952442,Amyleakainsedap,Evan Mcclarance Gundi Anak Kelvin Renggan,133
150371651783435,Yeo Bee Yin（杨美盈）,Yeo Bee Yin,126
225685927482720,Pemuda PAS Selangor,DEWAN PEMUDA PAS NEGERI SELANGOR,120
110103494236868,BN COMMS,BN Comms,115
131870563493026,OHBULAN!,OHBULAN!,111
110088305207034,BN COMMS Putrajaya,These ads ran without a disclaimer,107
236402373940290,Syahredzan Johan,Syahredzan Johan,104
109397945250592,Rumah Selangorku Cyberjaya,These ads ran without a disclaimer,≤100
474963719253432,Yayasan Ikhlas,Yayasan Ikhlas,≤100
260612367434680,Lidah Hitam,Mohd Rais Bin Omar,≤100
1011160672261971,Parti Amanah Negara,AMANAH,≤100
197799207237326,Pakatan Harapan,Harapan,≤100
211591442051,Harian Metro,Rev Media Group,≤100
217391881631388,SAYS,SAYS,≤100
161765427218260,Coffeeticks,Ng Weng Thiam,≤100
639585376056020,Aiman Athirah Sabu,Aiman Athirah Sabu,≤100
146911248727335,Abdul Hadi Awang,Abdul Hadi Awang,≤100
100682875880155,Doctor's Voice,These ads ran without a disclaimer,≤100
87363369882,Sinar Harian,Sinar Harian,≤100
1466006540330480,Shahril Hamdan,Shahril Hamdan,≤100
318853525554712,Perikatan Nasional Sepang,Perikatan Nasional Sepang,≤100
113169080150399,Pendapat Malaysia,These ads ran without a disclaimer,≤100
1629302040667117,Koleksi Viral,Koleksi Viral,≤100
100173982517485,MyUndi,MyUndi,≤100
195105060510135,Kementerian Dalam Negeri (KDN),Aiman Hakim Bin Mohd Yusof,≤100
135729286825875,Hamzah Zainudin,Hamzah Zainudin Orang Kita,≤100
27588322041,BFM Radio - The Business Station,BFM Radio - The Business Station,≤100
165772956766692,Idris Ahmad,Idris Ahmad,≤100
135091239861609,Nur Jazlan Mohamed,Nur Jazlan Mohamed,≤100
102366124467442,KitaReporters.com,These ads ran without a disclaimer,≤100
103741035747970,Masjid Kariah Bandar Perdana II,These ads ran without a disclaimer,≤100
204588107159019,Projek Imarah Masjid,These ads ran without a disclaimer,≤100
37447942417,Nurul Izzah Anwar,Parti Keadilan Rakyat,≤100
479387615411779,Pemuda PAS Malaysia,Dewan Pemuda PAS Malaysia,≤100
155707591143880,Prof. Dr Zainur Rashid Zainuddin,Yayasan Ikhlas,≤100
323440711827,Free Malaysia Today,Free Malaysia Today,≤100
377863958981851,Mahdzir Khalid,Mahdzir Khalid,≤100
135289458465,NST Online,NST Online,≤100
169284053121990,Pemuda PAS Bangi,Pemuda PAS Bangi,≤100
11726505964,Astro AWANI,Astro AWANI,≤100
112040937302708,Parti MUDA Malaysia,Mohamad Momen Bin Abdul Aziz,≤100
102416408995926,Tahfiz Kebajikan Ar Razali,Tahfiz Kebajikan Ar Razali,≤100
176159849754763,MCA,MCA,≤100
1130669147012110,Syed Saddiq Syed Abdul Rahman,Syed Saddiq Syed Abdul Rahman,≤100
103406462160763,Nat Market,VIDARA SDN BHD,≤100
511188415592658,Dr. Fathul Bari,Dr. Fathul Bari,≤100
100953840043211,Mohamad Sabu,AMANAH,≤100
109918387978015,沒有中間商賺差價,These ads ran without a disclaimer,≤100
713221472043013,Fahmi Bazlan,Fahmi Bazlan,≤100
220590201291065,Parti Islam Se-Malaysia (PAS) Pusat,Parti Islam Se-Malaysia (PAS) Pusat,≤100
446352142470360,Ustaz Marzuk Shaary,Ahmad Marzuk Bin Shaary,≤100
669791046367615,Malaysia Gazette,Malaysia Gazette,≤100
