Page ID,Page name,Disclaimer,Amount spent (MYR)
401788663279891,Yayasan Sofa Negeri Sembilan,Yayasan Sofa,350
260612367434680,Lidah Hitam,Mohd Rais Bin Omar,248
166738750044444,Sunway Group,Christine Lim May Chuen,≤100
413417772151030,NH ONLINE,Nor Hamzie Bin Md Hambali,≤100
103741035747970,Masjid Kariah Bandar Perdana II,These ads ran without a disclaimer,≤100
109530075225317,Rezeki Infaq,Nurhaniz Binti Mohamad Shah,≤100
112336401483901,EXCommerce-Live,These ads ran without a disclaimer,≤100
100569215711534,Sinar Daily,Sinar Daily,≤100
221096761346,Utusan Online,Media Mulia Sdn Bhd,≤100
103262598708932,thefuturizts,These ads ran without a disclaimer,≤100
479387615411779,Pemuda PAS Malaysia,Dewan Pemuda PAS Malaysia,≤100
104583751158392,Pustaka Permata Ummah,Pustaka Permata Ummah,≤100
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100
221159141657466,Newswav,Newswav - Malaysia Latest News,≤100
105849531564453,有间书馆,These ads ran without a disclaimer,≤100
350525301281,Ismail Sabri Yaakob,Ismail Sabri Yaakob,≤100
355049075348500,Oka空气净化机,These ads ran without a disclaimer,≤100
104488658370453,Wise Angel Training & Consultancy,These ads ran without a disclaimer,≤100
106433078866990,Jus Ceda Solusi Buasir,Amin Farhan Bin Azami,≤100
110633418047043,DARE,DARE,≤100
87363369882,Sinar Harian,Sinar Harian,≤100
111064911526774,Advanced Centre for Addiction Treatment Advocacy - ACATA,Advanced Centre for Addiction Treatment Advocacy - ACATA,≤100
100805671460411,No.00000,These ads ran without a disclaimer,≤100
226641550769331,Dilmah Conservation,These ads ran without a disclaimer,≤100
204588107159019,Projek Imarah Masjid,These ads ran without a disclaimer,≤100
401340596873929,The True Net,The True Net,≤100
530866913702582,Ustaz Hasanuddin Mohd Yunus,Hasanuddin Bin Mohd Yunus,≤100
107047938456392,Jam2u.com,VIDARA SDN BHD,≤100
446352142470360,Ustaz Marzuk Shaary,Ahmad Marzuk Bin Shaary,≤100
112271548150918,Al Fahana,These ads ran without a disclaimer,≤100
109397945250592,Rumah Selangorku Cyberjaya,These ads ran without a disclaimer,≤100
474963719253432,Yayasan Ikhlas,Yayasan Ikhlas,≤100
103688845108977,maggiexu0113,These ads ran without a disclaimer,≤100
490728928001480,ORANGKATA,ORANGKATA,≤100
115195725281815,Noh Omar,Noh Omar,≤100
517210464961612,刘华才博士,PGRM,≤100
109978830534400,Dr Dominic Lau Hoe Chai,PGRM,≤100
158714780827513,UNFPA,These ads ran without a disclaimer,≤100
195105060510135,Kementerian Dalam Negeri (KDN),Aiman Hakim Bin Mohd Yusof,≤100
464996406869911,Yanie Yanson,These ads ran without a disclaimer,≤100
122913508099,Parti Gerakan Rakyat Malaysia,PGRM,≤100
107382207626058,R.Yuneswaran,Yuneswaran A/L Ramaraj,≤100
223180581163143,Jagdeep Singh Deo 'Serving the People',Usha A/p Balakrishnan,≤100
176159849754763,MCA,MCA,≤100
2212692808965426,蓝天 Lan Tian,蓝天 Lan Tian,≤100
269301935826,ROTIKAYA,ROTIKAYA,≤100
206197753093706,AmazingTalker,These ads ran without a disclaimer,≤100
138361272876308,马华公会,马华公会,≤100
1831844263787221,Ustaz Zukirnain Abdul Kadir P034 Setiu,Mohd Faris Ameir Bin Ibrahim,≤100
282831539130120,Andre Lai 黎正興,Lai Chen Heng,≤100
377863958981851,Mahdzir Khalid,Mahdzir Khalid,≤100
216926965005999,HKTDC Exhibition Channel 香港貿發局展覽頻道,These ads ran without a disclaimer,≤100
7783116506,Animals Asia,These ads ran without a disclaimer,≤100
202159623191198,Kosmo Online,Kosmo Online,≤100
47298465905,Malaysiakini,FG Media Sdn Bhd,≤100
102347691691485,Malaysian Viral Page,Malaysian Viral Page,≤100
104887431073257,Zainuddin Mohamed,Zainuddin Bin Mohamed,≤100
106087238701219,"Daftar / Renew Kad Hijau, Lesen CIDB G1-G7",These ads ran without a disclaimer,≤100
105419740922540,Brandon Seah 謝文展 -Mcentury AVG 马来西亚 TOP 杰青領袖,These ads ran without a disclaimer,≤100
120324739939875,Jom Sihat,These ads ran without a disclaimer,≤100
1534279376863760,BK Tan 陈浩坤,These ads ran without a disclaimer,≤100
165218133643643,Dr. Tan Yee Kew 陈仪乔博士,Parti Keadilan Rakyat,≤100
479387615411779,Pemuda PAS Malaysia,Dewan Pemuda PAS Malaysia - DPPM,≤100
101291341431976,Azril Sarit,Azril Rizal Yusof Bin Mohd Sarit,≤100
101948845952442,Amyleakainsedap,Evan Mcclarance Gundi Anak Kelvin Renggan,≤100
1529563417302750,Pemuda UMNO Temerloh,Azril Rizal Yusof Bin Mohd Sarit,≤100
754400848036095,Audi Koh Director Timsun Malaysia,These ads ran without a disclaimer,≤100
131870563493026,OHBULAN!,OHBULAN!,≤100
1481225741958270,YB Arafat - Pusat Khidmat Rakyat ADUN Hulu Kinta,Parti Keadilan Rakyat,≤100
929403260489334,Nadi Mahasiswa Malaysia,Nadi Mahasiswa Malaysia,≤100
37447942417,Nurul Izzah Anwar,Parti Keadilan Rakyat,≤100
113818274080624,Malaysia Sentinel,Malaysia Sentinel,≤100
110616053654362,Mohamad Ali Mohamad,Mohamad Ali Bin Mohamad,≤100
225392457942420,Shahir Adnan,Mohd Shahir Bin Adnan,≤100
135091239861609,Nur Jazlan Mohamed,Nur Jazlan Mohamed,≤100
107974832052376,马六甲时报,These ads ran without a disclaimer,≤100
1440895676190309,Hiredly,These ads ran without a disclaimer,≤100
100658655666274,Impormasyon PH,These ads ran without a disclaimer,≤100
102316375735825,Norliza Noh,Zaparudin Abdul Rahim,≤100
27588322041,BFM Radio - The Business Station,BFM Radio - The Business Station,≤100
107544104719529,FinGuider 美股資訊網,These ads ran without a disclaimer,≤100
103627275288286,Lumi News Malaysia,Lumi Global Sdn Bhd,≤100
138680046148501,Mega Chess Academy,These ads ran without a disclaimer,≤100
104231918021693,Malaysiapost,Malaysiapost,≤100
211591442051,Harian Metro,Rev Media Group,≤100
1560866277543941,Dr Radzi Jidin,Era Baharu Putrajaya,≤100
102780751193893,Threebs.co,Threebs.co,≤100
106422858807839,LailaPali Empire Doorgift,These ads ran without a disclaimer,≤100
233930556693365,Khalifah Media Networks,Mohd Huzaifah Bin Muntalip,≤100
92562929270,Hot FM,Hot FM,≤100
232346716925403,Majalah Forex Malaysia,MAJALAH FOREX MALAYSIA,≤100
258440468207144,Daniel Ling Sia Chin,Samuel Quek Leng Beng,≤100
100856848499442,Dr. Abd Latiff Ahmad,Mohd Ikhmal Abu Bakar,≤100
1451101228315846,Iman Care,These ads ran without a disclaimer,≤100
104141394931164,Kula Segaran P065,M.Kulasegaran A/l V.Murugeson,≤100
11726505964,Astro AWANI,Astro AWANI,≤100
101416618626674,Sabah Media,Aramaitii media sdn bhd,≤100
1011160672261971,Parti Amanah Negara,AMANAH,≤100
149195003923132,Temerloh TV,Muhamad Khalid Bin Tan,≤100
243677776430540,丹斯里 李金友 Tan Sri Lee Kim Yew,Golden Horse Digital Investment Bank,≤100
237380633036751,火箭报,DAP Malaysia,≤100
881712758830165,BERJASA Malaysia,BERJASA Malaysia,≤100
135729286825875,Hamzah Zainudin,Hamzah Zainudin Orang Kita,≤100
106671865040410,Keris Mengilau,These ads ran without a disclaimer,≤100
2091629871062811,Syed Abdul Razak Alsagoff,Syed Abdul Razak Alsagoff,≤100
110103494236868,BN COMMS,BN Comms,≤100
112040937302708,Parti MUDA Malaysia,Mohamad Momen Bin Abdul Aziz,≤100
107023271786947,Molek FM,Molek FM,≤100
504995402890608,Sandrea Ng,Parti Keadilan Rakyat Gopeng,≤100
1440798055978585,Warisan Anak Malaysia,Parti Warisan Sabah,≤100
1684261028524641,Pusat Pengajian Ibnu Razak,Pusat Pengajian Ibnu Razak,≤100
100173982517485,MyUndi,MyUndi,≤100
143451526401157,Abdul Rahim Tahir For P.063 Tambun,Abdul Rahim Bin Tahir,≤100
104915965762423,Tabung Kompleks Pembangunan IREC,Muhammad Fakhrur Razi Al Hafiy,≤100
101387829455160,GO2V,GO2V,≤100
727311000732682,Parti Amanah Negara Parlimen Larut,AMANAH,≤100
113169080150399,Pendapat Malaysia,These ads ran without a disclaimer,≤100
528696770627084,HurunEin Malaysia,These ads ran without a disclaimer,≤100
174298466127,Utusan TV,Utusan Binders Sdn. Bhd,≤100
712310215592506,郑立慷,Chang Lih Kang,≤100
107201848430984,民兴党Warisan中文版,Cheng Kuan Keet,≤100
128946014490030,Al-Faqir Ustaz Muhammad Luqman - Original,These ads ran without a disclaimer,≤100
511561258941414,Bong Jenn Fonng 黄振峰,Jenn Fonng Bong,≤100
102136629894327,Greenpeace Malaysia,Greenpeace Malaysia Sdn Bhd,≤100
214066990599,Berita Harian Online,These ads ran without a disclaimer,≤100
214066990599,Berita Harian Online,Berita Harian Online,≤100
271483482902778,BS Technology,These ads ran without a disclaimer,≤100
928874154117959,Azli Yusof,AMANAH,≤100
212554495440954,Dato Sri Izudin Ishak,Izudin Bin Ishak,≤100
281039479019103,Teh Kee Sin 郑己胜,These ads ran without a disclaimer,≤100
119250754753587,Wong Hon Wai 黄汉伟  Bukit Bendera,Wong Hon Wai,≤100
109246994982100,I Am DSSA,I Am DSSA,≤100
100256272901671,Johan Ropi,Johan Ropi,≤100
109341278575338,BN COMMS BAGAN DATUK,Barisan Nasional,≤100
466564170033048,Pergerakan Pemuda UMNO Bahagian Sekijang,Mohd Hidayat Bin Mohd Nor,≤100
112183975526837,Muhyiddin Yassin,Mohd Ikhmal Abu Bakar,≤100
199039390167044,Ameerah Malaysia,Ameerah Malaysia,≤100
233238730629575,Na'im Brundage,Na'im Bin Brundage,≤100
1173992416022994,Wardah Media,Wardah Media,≤100
217391881631388,SAYS,SAYS,≤100
196573983368,Harakahdaily,JABATAN PENERANGAN,≤100
1842657632659388,Baljit Singh,Baljit Singh,≤100
155707591143880,Prof. Dr Zainur Rashid Zainuddin,Yayasan Ikhlas,≤100
38348181435,Khalid Samad,AMANAH,≤100
139480122842692,OLDTOWN White Coffee Malaysia,These ads ran without a disclaimer,≤100
220590201291065,Parti Islam Se-Malaysia (PAS) Pusat,Parti Islam Se-Malaysia (PAS),≤100
157791694829873,Manndzri,Manndzri,≤100
110698338268396,KOREAZ_Honorary reporters,These ads ran without a disclaimer,≤100
2164630037156785,Adly Zahari,AMANAH,≤100
1071860782942949,JohorPress,Sayefullah Bin Jasman,≤100
135289458465,NST Online,NST Online,≤100
1629302040667117,Koleksi Viral,Koleksi Viral,≤100
105095057904484,William Leong 梁自坚,Swee Sheun Lee,≤100
713221472043013,Fahmi Bazlan,Fahmi Bazlan,≤100
197799207237326,Pakatan Harapan,Harapan,≤100
101779739413941,Hj. Shamsul Ma'arif Ismail,AMANAH,≤100
108383725867658,RYTHM Foundation,These ads ran without a disclaimer,≤100
134750209898122,Chang Lih Kang,Chang Lih Kang,≤100
1792548424157249,Media Sungai Buloh P107,Media Sungai Buloh P107,≤100
103386089143601,Keadilan Petaling Jaya,Farhan Shah,≤100
639585376056020,Aiman Athirah Sabu,AMANAH,≤100
109629544854240,Harun Mohamed,AMANAH,≤100
106902697515837,Bersatu Kota Marudu,Emran Maidin,≤100
643562522335339,KyoChon Malaysia,These ads ran without a disclaimer,≤100
501503336612276,Ismail Sabri PM ke 9 dan ke 10,Aljojil Bin Hamsah,≤100
39535177758,Twilio,These ads ran without a disclaimer,≤100
125279958350,GIVE.asia,These ads ran without a disclaimer,≤100
1429942950553593,Adipec Official,These ads ran without a disclaimer,≤100
106256777922958,SEA Today News,These ads ran without a disclaimer,≤100
109074175331142,MB88 0174,These ads ran without a disclaimer,≤100
105171192862790,UNRWA,These ads ran without a disclaimer,≤100
103886725073257,Kpop4Planet,These ads ran without a disclaimer,≤100
156514087702491,Lancôme,These ads ran without a disclaimer,≤100
108832895294337,wyld__lyf,These ads ran without a disclaimer,≤100
481318695969211,Wild For Change,These ads ran without a disclaimer,≤100
157670238393249,"Community Development Center, Parsa",These ads ran without a disclaimer,≤100
281731535230769,Hemmersbach,These ads ran without a disclaimer,≤100
1388548264745259,LinkedIn Talent Solutions,These ads ran without a disclaimer,≤100
109918387978015,沒有中間商賺差價,These ads ran without a disclaimer,≤100
1531570613776466,拾方視角,These ads ran without a disclaimer,≤100
115121535188191,Economist Impact events,These ads ran without a disclaimer,≤100
570175473079180,国际特赦组织中文 Amnesty International Chinese,These ads ran without a disclaimer,≤100
172896853380686,Adamelgabry,These ads ran without a disclaimer,≤100
103494587696861,Life Pattern Korea,These ads ran without a disclaimer,≤100
287683225711,UN Environment Programme,UN Environment Programme with Facebook Ad Credits,≤100
145327659223282,Nature Index,These ads ran without a disclaimer,≤100
287683225711,UN Environment Programme,UN Environment Programme,≤100
134278719946186,Bayer,These ads ran without a disclaimer,≤100
289446947817747,Global Citizen,These ads ran without a disclaimer,≤100
1723464574592781,Evolusi Hijab,These ads ran without a disclaimer,≤100
179488829335875,CircleDNA,These ads ran without a disclaimer,≤100
155677885272,RFI 华语 - 法国国际广播电台,These ads ran without a disclaimer,≤100
100949118277954,Unidos Por Leticia Amazonas,These ads ran without a disclaimer,≤100
2092924957605425,Solis,These ads ran without a disclaimer,≤100
