Page ID,Page name,Disclaimer,Amount spent (MYR),Number of ads in Library,is_included,party,coalition,is_personal_page,other_page
350525301281,Ismail Sabri Yaakob,Ismail Sabri Yaakob,405419,1367,yes,ummo,BN,yes,
221159141657466,Newswav,Newswav - Malaysia Latest News,316519,1831,no,,,,
1955662711111120,Apa Kata Orang,Apa Kata Orang,277612,3294,no,,,,
145165568851292,Rafizi Ramli,Ayuh Malaysia,274061,967,yes,PKR,PH,yes,
87433504191,Democratic Action Party,Democratic Action Party,252922,760,yes,DAP,PH,no,
237380633036751,火箭报,DAP Malaysia,231483,733,yes,DAP,PH,no,
104398771409285,Perikatan Nasional,Perikatan-Nasional,165833,73,yes,PN,PN,no,
343347583411734,歡樂大東家,These ads ran without a disclaimer,126612,14,no,,,,
260612367434680,Lidah Hitam,Mohd Rais Bin Omar,90519,156,no,,unknown,,yes
330451017046844,Amirudin Shari,Amirudin Shari,71649,46,yes,PKR,PH,yes,
479387615411779,Pemuda PAS Malaysia,Dewan Pemuda PAS Malaysia - DPPM,68489,54,yes,PAS,PN,no,
143451526401157,Abdul Rahim Tahir For P.063 Tambun,Abdul Rahim Bin Tahir,59657,75,yes,Pejuang,Pejuang,yes,
377863958981851,Mahdzir Khalid,Mahdzir Khalid,57330,38,yes,ummo,BN,yes,
135091239861609,Nur Jazlan Mohamed,Nur Jazlan Mohamed,56991,117,yes,ummo,BN,yes,
37447942417,Nurul Izzah Anwar,Parti Keadilan Rakyat,54610,18,yes,PKR,PH,yes,
102347691691485,Malaysian Viral Page,Malaysian Viral Page,48272,308,no,,,,yes
110103494236868,BN COMMS,BN Comms,47359,253,yes,BN,BN,no,
197799207237326,Pakatan Harapan,Harapan,45038,134,yes,PH,PH,no,
102662592664570,KJ John P105 Petaling Jaya,K.J John A/L John Kuruvilla,42131,225,yes,bebas,bebas,yes,
102366124467442,KitaReporters.com,Ng Weng Thiam,40000,12,no,BN,BN,no,yes
161765427218260,Coffeeticks,Ng Weng Thiam,40000,13,no,BN,BN,no,yes
214066990599,Berita Harian Online,Berita Harian Online,38265,74,no,,,no,
103627275288286,Lumi News Malaysia,These ads ran without a disclaimer,36943,13,no,,,no,
100256272901671,Johan Ropi,Johan Ropi,36432,35,yes,BN,BN,yes,
1629302040667110,Koleksi Viral,Koleksi Viral,35951,133,no,,,no,
112040937302708,Parti MUDA Malaysia,Mohamad Momen Bin Abdul Aziz,35654,26,yes,MUDA,PH,no,
